access to classified information	– գաղտնի տեղեկություններ ստանալու իրավունք եւ հնարավորություն:
attack origin	–  1. այն վայրը կամ սկզբնաղբյուրը, որտեղից սկիզբ է առել  հարձակումը: 2. Հարձակումը նախաձեռնած պետությունը:
attack position	– հարձակվող զորամիավորման կողմից մարտական գործողությունից առաջ զբաղեցրած վերջին դիրքերը:
average speed	– միջին արագություն - զորամիավորման տեղաշարժման ողջ ընթացքի համար հաշվարկված` մեկ ժամում անցնելիք միջին տարածությունը, չհաշված նախատեսված կայանումները: 
aviation medicine	– բժշկության առանձին ոլորտ, որը զբաղվում է ռազմաօդային թռիչքներին վերաբերող կենսաբանական եւ հոգեբանական խնդիրներով: 
background radiation	–  միջուկային (կամ իոնացնող) ճառագայթում, որի աղբյուրը  մարդու մարմինն է եւ շրջակա տեղանքը:
back tell	– տեղեկությունների փոխանցումը վերադասից ստորադասին:
ballistic missile	– բալիստիկ հրթիռ - հրթիռային զինատեսակ, որը թռիչքի մեծ մասը կատարում է բալիստիկ հետագծով, այսինքն գտնվում է երկրից չկառավարվող թռիչքում: Անհրաժեշտ արագությունը եւ ուղղությունը հրթիռին հաղորդվում են թռիչքի սկզբնական մասում՝ ռեակտիվ շարժիչի միջոցով: Շարժիչի անջատվելուց հետո հրթիռի մարտագլխիկով մասը մինչեւ նշանակետ մնացած թռիչքը կատարում է բալիստիկ հետագծով: 
ballistic missile early warning system	– հակառակորդի միջմայրցամաքային բալիստիկ հրթիռների միջոցով հարձակման դեպքում վաղ նախազգուշացման եւ հրթիռների հայտնաբերման էլեկտրոնային համակարգ:
barrier	– արգելապատնեշ - խոչընդոտների համակարգված շարք, որը կիրառվում է հակառակորդի զորամիավորումների տեղաշարժերն ուղղորդելու, սահմանափակելու, ձգձգելու կամ դադարեցնելու եւ նրան մարդկային, նյութական կամ ժամանակի կորուստներ պատճառելու համար: Արգելապատնեշները կարող են լինել բնական, մարդկանց կողմից ստեղծված կամ երկուսի համադրությամբ:
base	– բազա - 1. վայր, որտեղից ղեկավարվում են ռազմական գործողությունները, կամ որտեղից տրամադրվում է գործողությունների համար անհրաժեշտ օժանդակությունը: 2. Ելակետային օդանավակայան կամ ելակետ վերադառնալու համար նախատեսված ինքնաթիռ:
base defense forces	– բազային կցված զինվորական ստորաբաժանումներ, որոնց գլխավոր խնդիրն է այդ բազայի պաշտպանությունն ու անվտանգության ապահովումը:
battle damage assessment	– զինված ուժի կիրառմամբ պատճառված վնասի գնահատում:
battlefield illumination	– մարտադաշտի լուսավորում արհեստական լույսով: 
battlefield surveillance	– մարտադաշտի համակարգված դիտարկում` տեղեկություններ եւ հետախուզական տվյալներ ստանալու նպատակով:
battle injury	– մարտի հետեւանքով զինծառայողներին հասցված վնասները եւ կորուստները:
battle management	— հրամանատարության կողմից տրված հրամանների ու ցուցումների հիման վրա իրականացվող մարտական գործողությունների կառավարում: 
battlespace	– մարտական գործողությունների տարածք - այն տեղանքը, գործոններն ու իրադրությունը, որոնց վերաբերյալ տվյալների ճիշտ գնահատումն անհրաժեշտ է արդյունավետ կերպով  զինված ուժի կիրառման, սեփական զորքի պատշաճ պաշտպանության կամ առաքելության հաջող իրականացման համար: 
bilateral infrastructure	– երկկողմանի ենթակառույց - ենթակառույց, որը վերաբերում է ՆԱՏՕ-ի անդամ երկու երկրների  եւ ֆինանսավորվում է երկկողմանի համաձայնագրի հիման վրա, օրինակ, երբ ՆԱՏՕ-ի անդամ մեկ երկրի տարածքում գտնվող օբյեկտը օգտագործվում է ՆԱՏՕ-ի մեկ այլ անդամի զինված ուժերի կողմից:
biographical intelligence	– կենսագրական հետախուզություն - հետախուզության բաղկացուցիչ մաս, որը զբաղվում է ընթացիկ կամ պոտենցիալ կարեւորություն ներկայացնող օտարերկրյա քաղաքացիներով:
black list	– «սեւ ցուցակ» - հակառակորդի կամ պոտենցիալ հակառակորդի հետ համագործակցողների, նրանց համակրողների, հակահետախուզության մարմինների կողմից որպես կասկածյալ դիտվող եւ անվտանգության համար վտանգ ներկայացնող այլ անձանց պաշտոնական ցուցակ:
black propaganda	– «սեւ պրոպագանդա»՝ պրոպագանդայի այն տարատեսակը, որը հակված է օգտագործելու ճշմարտության հետ կապ չունեցող աղբյուրներ:
blind transmission	– «կույր հաղորդում» - տեղեկության այնպիսի հաղորդում, երբ չի սպասվում այդ տեղեկության ընդունման մասին ստացողի հաստատումը:
blocking position	– արգելափակող դիրք - պաշտպանական այնպիսի դիրքավորում, որը հակառակորդին զրկում է որոշակի տարածք մուտք գործելու հնարավորությունից կամ խոչընդոտում է նրա զորաշարժը որոշակի ուղղությամբ:
blood chit	– զինծառայողների, սովորաբար օդաչուների մոտ գտնվող փոքրածավալ գրություն, որը բոլոր մարդկանց խնդրում է աջակցություն ցույց տալ այդ գրությունը կրող զինծառայողին: Գրությունը կարող է պարունակել նաեւ աջակցություն ցույց տված անձանց ուղղված դրամական կամ այլ պարգեւի խոստում:
booby trap	– ծուղակ-ական  - պայթուցիկ կամ այլ սարք կամ նյութ, որը վնասվածք հասցնելու նպատակով տեղադրված է առերեւույթ անվնաս թվացող առարկայի մեջ եւ գործի է դրվում այդ առարկան տեղաշարժելիս կամ նրա հետ սովորաբար անվտանգ եղող որեւէ գործողություն կատարելիս:
briefing	– խորհրդակցություն, ուր տրվում են հրահանգներ կամ տեղեկատվություն:
buddy-aid	— բժշկական ծառայությանը չպատկանող զինվորականի կողմից մեկ այլ անձի նկատմամբ իրկանացվող շտապ բուժօգնություն (առաջին օգնություն):
bug	– 1. քողարկված խոսափող կամ լսող սարք կամ գաղտնալսման այլ հարմարանք: 2. Գաղտնալսման միջոցի տեղադրում:
bugged	– սենյակ կամ այլ օբյեկտ, որը պարունակում է գաղտնալսման սարք:
burn notice	–  հետախուզական գործակալության կողմից այլ հատուկ ծառայությունների համար կատարվող իրազեկում, առ այն որ որեւէ անհատ կամ խմբավորում անվստահելի է: 
call fire	– յուրային ստորաբաժանումից ստացված խնդրանքի համաձայն հակառակորդի որոշակի թիրախի գնդակոծում: 
camouflage	– քողարկ - հակառակորդին շփոթեցնելու, ապակողմնորոշելու կամ նրանից խույս տալու նպատակով զինծառայողների, ռազմական օբյեկտների կամ դիրքերի վրա օգտագործվող արհեստական նյութեր:
camouflage detection photography	– քողարկի բացահայտման նպատակով կիրառվող լուսանկարչական հատուկ ժապավենով լուսանկարում:
campaign	– ռազմարշավ - որոշակի ժամանակահատվածում եւ տարածքում ռազմավարական կամ մարտավարական խնդիրներ լուծելուն ուղղված ծավալուն ռազմական գործողությունների փոխկապակցված շարք: 
campaign plan	– ռազմարշավի պլան - որոշակի ժամանակահատվածում եւ  տարածքում ռազմավարական կամ մարտավարական խնդիրներ լուծելուն ուղղված ծավալուն ռազմական գործողությունների փոխկապակցված շարքի իրագործման միացյալ պլան: 
canalize	– ուղղորդում - ռազմական գործողությունների սահմանափակումը նեղ տարածքագոտու շրջանակներում` օգտագործելով առկա արգելապատնեշները, կամ գնդակոծումն ու ռմբակոծումը:
cannibalize	– սարքավորման վերանորոգման նպատակով մեկ այլ սարքավորումից մասեր հանելը:  
capability	– կարողություն - որոշակի մարտական գործողություններ իրականացնելու ունակություն:
carpet bombing	– «գորգային ռմբակոծում» - մեծածավալ տարածքների համատարած ռմբակոծում: Կիրառվել է ԱՄՆ-ի ռազմաօդային ուժերի կողմից վիետնամական պատերազմի ընթացքում եւ Աֆղանստանում՝ 2001թ. հակաահաբեկչական գործողություններում:
casualty	– հակառակորդի գործողությունների հետեւանքով զոհված, վիրավորված, գերի ընկած կամ անհայտ բացակայող ճանաչված զինծառայող:
catalytic attack	– դրդիչ հարձակում - որեւէ պետության խարդավանքների միջոցով իրականացվող հարձակում, որի նպատակն է պատերազմ հրահրել խոշոր տերությունների միջեւ:
catastrophic event	– աղետալի իրադարձություն - բնական կամ արհեստածին միջադեպ, այդ թվում ահաբեկչական ակտ, որի հետեւանքը լինում են արտառոց չափի զանգվածային կորուստներ, վնասներ կամ ավերածություններ, որոնք բացասաբար են անդրադառնում բնակչության, ենթակառուցվածքների, տնտեսության, բարոյահոգեբանական վիճակի կամ պետության գործառույթների վրա:  
chain of command	– հրամանատարական շղթա - հրամանատարների հաջորդականություն վերադասից մինչեւ ստորադաս, որի միջոցով կատարվում է հրամանը:
civil censorship	– քաղաքացիական գրաքննություն - զինված ուժերի կողմից ռազմակալված տարածքներ մուտք գործող, դրանցից դուրս եկող, այնտեղ թողարկվող կամ շրջանառվող քաղաքացիական հրատարակությունների եւ զանգվածային լրատվամիջոցների  արտադրանքի նկատմամբ իրականացվող վերահսկողություն:
civil damage assessment	– երկրի բնակչությանը, տնտեսությանը, կենցաղային ծառայություններ մատուցող համակարգերին, կապի եւ հաղորդակցության միջոցներին, սննդի, ջրի պաշարներին եւ առողջապահական հաստատություններին պատճառված վնասի գնահատումը: 
civil defense	– այն գործունեությունը եւ ձեռնարկվող միջոցները, որոնք նախատեսված են. (ա) հակառակորդի հնարավոր հարձակման դեպքում երկրի քաղաքացիական բնակչության վրա այդ հարձակման հետեւանքները նվազագույնի հասցնելու համար,  (բ) հակառակորդի հարձակման հետեւանքով ծագած հրատապ խնդիրներով զբաղվելու համար եւ (գ) հակառակորդի հարձակման հետեւանքով վնասված կամ ոչնչացված կենսական կարեւորության ծառայություններ մատուցող համակարգերի շտապ վերականգնումն իրականացնելու համար: 
civilian internee	– ներկալված քաղաքացիական անձ - քաղաքացիական անձ, որը ռազմական հակամարտության, տարածքի ռազմակալման կամ այլ ռազմական գործողության ընթացքում անվտանգության նկատառումներով կամ նրան պաշտպանելու նպատակով կամ իր կողմից զանցանք կատարելու պատճառով հարկադրաբար մեկուսացված (կալանված) է:
civilian internee camp	– ներկալված քաղաքացիական անձանց ճամբար - հավաքատեղի, որը նախատեսված է քաղաքացիական ներկալվածներին մեկուսացնելու (կալանքի տակ պահելու) համար:
civil nuclear power	– քաղաքացիական միջուկային տերություն - պետություն, որն ունի միջուկային զենք ստեղծելու տեխնոլոգիական պոտենցիալ, սակայն կամովին ձեռնպահ է մնում նման զենք ստեղծելուց:
civil transportation	– քաղաքացիական փոխադրումներ - մարդկանց, գույքի, փոստի տեղափոխումը քաղաքացիական տրանսպորտային միջոցներով:
closed area	– փակ տարածք - որոշակի տարածք, ուր մուտք գործելն արգելված է:
coalition	– կոալիցիա՝  պայմանավորվածություն երկու կամ ավելի պետությունների միջեւ որոշակի խնդրի շուրջ համատեղ գործունեություն իրականացնելու վերաբերյալ: 
code word	– գաղտնաբառ - բառ, որին տրված է գաղտնագրված իմաստ՝ գաղտնի պլանի կամ գործողության վերաբերյալ տեղեկությունները պահպանելու նպատակով: 
cold war	– սառը պատերազմ - լարված միջազգային դրություն, որի ընթացքում պետությունների առջեւ ծառացած խնդիրների լուծման համար կիրառվում են քաղաքական, տեխնոլոգիական, սոցիոլոգիական, հոգեբանական, կիսառազմական եւ ռազմական միջոցներ՝ բացառությամբ հիմնական բանակային ուժերի բացահայտ զինված բախումների:
collateral damage	– ուղեկցող վնաս - մարտական գործողությունների ընթացքում անձանց կամ գույքին  պատահականորեն հասցված կորուստ կամ վնաս, եթե այդ անձինք կամ գույքը, ըստ հանրաճանաչ չափանիշների, տվյալ հանգամանքներում չպետք է լինեին ռազմական թիրախ եւ երբ հասցված վնասը  չի բխում գործողությունների ակնկալվող արդյունքին հասնելու անհրաժեշտությունից:
combat assessment	– մարտի գնահատում - մարտական գործողության ընթացքում ներգրավված ուժերի արդյունավետության որոշում: 
combined operation	– համատեղ գործողություն - իրականացվում է երկու կամ ավելի դաշնակից պետությունների զինված ուժերի կողմից միասնաբար՝ ընդհանուր խնդիր լուծելու նպատակով: 
communications system	– հաղորդակցության համակարգ - հաղորդակցության ցանցեր եւ տեղեկատվական ծառայություններ, որոնք հնարավորություն են տալիս իրականացնելու համատեղ մարտական գործողություններ:
computer intrusion	– համակարգչային ներխուժում - չարտոնված ներթափանցում տեղեկատվական մեքենայացված համակարգ:  
computer intrusion detection	–  համակարգչային ներխուժման բացահայտում - համակարգչային ներխուժման փորձի, ընթացքի կամ նախկինում տեղ գտած ներխուժման փաստի հայտնաբերման գործընթաց:
computer network attack	– հարձակում համակարգչային ցանցի դեմ - համակարգչային ցանցի միջոցով իրականացվող գործողություններ, որոնց նպատակն է համակարգիչներում եւ համակարգչային ցանցերում առկա տվյալների աղճատումը, ոչ պիտանելի դարձնելը կամ ոչնչացումը, ինչպես նաեւ անմիջականորեն համակարգիչները եւ ցանցերը շարքից հանելը:  
confirmation of intelligence information	– հետախուզական տեղեկության հաստատում -  տեղեկությունը համարվում է հաստատված, երբ այն զեկուցվում է երկրորդ անգամ (նախընտրելի է մեկ այլ, անկախ եւ հուսալի աղբյուրի կողմից):
consumer	– սպառող - անձ կամ հաստատություն, որն օգտագործում է ձեռք բերված տեղեկությունները կամ հետախուզական տվյալները:
controllable mine	– կառավարվող ական - ական, որը տեղադրվելուց հետո կարող է վերահսկվել օգտագործողի կողմից, այդ թվում եւ ականը պայթեցնելը:
conventional weapon	– սովորական զենք - միջուկային, կենսաբանական կամ քիմիական զինատեսակ չհանդիսացող զենք:
counterattack	– հակահարձակում - պաշտպանվող ուժերի կամ նրանց մի մասի հարձակումը հակառակորդի հարձակվող ուժերի դեմ, նպատակ ունենալով վերադարձնել կորցրած տարածքը, վերականգնել մարտական դիրքերը, ոչնչացնել հակառակորդի առաջապահ ուժերը եւ թույլ չտալ հակառակորդին հասնելու իր հարձակման նպատակին: 
counterintelligence	– հակահետախուզություն - օտարերկրյա պետությունների, նրանց մարմինների, օտարերկրյա կազմակերպությունների, օտարերկրյա անձանց կողմից կամ նրանց օգտին կատարվող հետախուզական գործողություններից, դիվերսիաներից եւ սպանություններից  յուրային ուժերին պաշտպանելու համար իրականացվող գործունեություն:
counterintelligence collection	– հակահետախուզական տեղեկությունների հավաքում - օտարերկրյա պետությունների, նրանց մարմինների, օտարերկրյա կազմակերպությունների, օտարերկրյա անձանց կողմից կամ նրանց օգտին իրականացվող հետախուզական, դիվերսիոն, ահաբեկչական գործողությունների կամ սպանությունների վերաբերյալ տեղեկությունների համակարգված ձեռքբերում: 
counterpropaganda operations	– հակաքարոզչական գործունեություն - հոգեբանական ոլորտի այն գործողությունները, որոնք բացահայտում են հակառակորդի քարոզչությունը, նպաստում իրավիճակային տեղեկացվածությանը եւ խափանում հակառակորդի կողմից բնակչության կամ զինված ուժերի վրա ներազդելու փորձերը:
crater	– ռմբափոս, պայթյունաձագար - պայթյունի հետեւանքով երկրի մակերեւույթին առաջացած փոս, գոգավորություն կամ խոռոչ:
crisis	– ճգնաժամ - միջադեպ կամ իրավիճակ, որը սպառնալիք է պարունակում պետության, նրա տարածքի, քաղաքացիների, զինված ուժերի, ունեցվածքի կամ կենսական շահերի հանդեպ:  Ճգնաժամը հասունանում է արագորեն եւ ստեղծում է դիվանագիտական, տնտեսական, քաղաքական կամ ռազմական այնպիսի լուրջ իրադրություն, որ պետության առջեւ ծառացած խնդիրները լուծելու համար օրակարգային հարց է դառնում զինված ուժերի օգտագործումը: 
cruise missile	– հեռակառավարվող հրթիռ, թեւավոր հրթիռ - մարտագլխիկ (սովորաբար՝ միջուկային) կրող եւ մինչեւ թիրախին հասնելը  կառավարվող հրթիռ, որի թռիչքն իրականացվում է տանող թեւերի եւ ռեակտիվ շարժիչի միջոցով: 
custody	– 1. պահպանություն - զենքի եւ հարակից սարքերի վերահսկողության, փոխանցման, տեղափոխման եւ դրանց համար հաշվետվության պարտականություն: 2. Կալանք - անձի ժամանակավոր ազատազրկում:
cutout	– կապավոր - միջնորդ, որի նշանակությունը կայանում է գաղտնի կազմակերպության անդամների միջեւ ուղղակի շփումների բացառումը:
cyberspace	–  կիբեռտարածություն, կիբեռտիրույթ - ինֆորմացիոն միջավայրի համընդհանուր տարածություն, որը բաղկացած է ինֆորմացիայի տեխնոլոգիական ենթակառույցներից, ներառյալ համացանցը, հեռախորդակցության համակարգերն ու համակարգչային ցանցերը:
cyberspace operations	— գործողություններ կիբեռտարածությունում -  ռազմական նպատակներով կիբեռնետիկական կարողությունների օգտագործումը կիբեռտարածությունում: 
damage assessment	– վնասի գնահատում - թիրախների դեմ հարձակումներից հետո հետեւանքների պարզումը:
dangerous cargo	– վտանգավոր ուղեբեռ - ուղեբեռ, որն իր վտանգավոր հատականիշների պատճառով ենթակա է փոխադրման հատուկ կանոնների պահպանման:
decoy	– կեղծ թիրախ - հակառակորդին մոլորեցնելու նպատակով անձի, օբյեկտի կամ երեւույթի նմանակում:
de facto boundary	– դե-ֆակտո (փաստացի) սահման - միջազգային կամ վարչական սահմանագիծ, որի օրինականությունը ճանաչված չէ, սակայն որը գործնականորեն ծառայում է որպես առանձին պետական կամ վարչական իշխանությունների տարածքային լիազորությունների սահմանազատման գիծ:
defensive zone	– պաշտպանական շրջան - սովորաբար ռազմաճակատին զուգահեռ ձգվող տարածքային գոտի, որն ընդգրկում է երկու կամ ավելի պատրաստի, կամ կիսապատրաստ պաշտպանական դիրքեր:
defoliant operation	– տերեւաթափող գործողություն -  բուսականությամբ ծածկված տարածքների վրա, ռազմական գործողություններին աջակցելու նպատակով, տերեւաթափող միջոցների կիրառում, օրինակ` հակառակորդին անտառածածկ վայրում քողազերծելու համար:
defoliating agent	– տերեւաթափող միջոց - քիմիկատ, որն առաջացնում է ծառերի, թփուտների եւ այլ բուսականության մշտական տերեւաթափ:
de jure boundary	– դե-յուրե (իրավապես) սահման - միջազգային կամ վարչական սահմանագիծ, որի գոյությունը եւ օրինականությունը ճանաչված են:
delegation of authority	– լիազորությունների փոխանցում - գործողություն, որով հրամանատարն իր լիազորությունների մի մասը տրամադրում է ստորադասին: Փոխանցված լիազորությունների շրջանակը պետք է լինի հստակ:
demilitarized zone	– ապառազմականացված շրջան - որոշակի տարածք, ուր արգելված է զինված ուժերի տեղակայումը կամ կենտրոնացումը, կամ որեւէ կարգի ռազմական սարքավորման պահպանումը կամ տեղադրումը:
demonstration	– ցուցադրում - հարձակում կամ ուժի ցուցադրություն  ռազմաճակատի այն հատվածում, ուր դրված չէ անմիջական ռազմական խնդրի լուծման առաջադրանք, այլ նպատակ է հետապնդվում շեղելու հակառակորդի ուշադրությունը, մոլորեցնելու նրան:
dependents/immediate family	– խնամարկյալներ/մերձավոր ազգականներ - ծառայողի ամուսինը, այն երեխաները, որոնք ամուսնացած չեն կամ անչափահաս են, կամ անկախ տարիքից՝ անգործունակ են, խնամքի տակ գտնվող ծնողները, այդ թվում խորթ ծնողները եւ ամուսնու ծնողները, խնամքի տակ գտնվող եղբայրներն ու քույրերը, այդ թվում ամուսնու եղբայրներն ու քույրերը, որոնք ամուսնացած չեն կամ անչափահաս են, կամ անկախ տարիքից՝ անգործունակ են:
deterrence	– զսպում - գործողության կանխում, որը պայմանավորված է  հետեւանքների հանդեպ մտավախությամբ:
diplomatic authorization	– դիվանագիտական արտոնում - պետության տարածքի վրայով թռիչք կատարելու կամ այդ տարածքում վայրէջք կատարելու համար դիվանագիտական ուղով ձեռք բերված թույլտվություն:
direct action	– ուղղակի գործողություն - հակառակորդի տարածքում կամ քաղաքական առումով զգայուն միջավայրում, որպես հատուկ գործողություն իրականացվող կարճատեւ հարվածներ եւ այլ փոքրամասշտաբ հարձակողական մարտեր, որոնցում հանձնարարված թիախները գրավելու, ոչնչացնելու, գերելու, օգտագործելու, դրանց վերատիրելու կամ վնաս հասցնելու համար կիրառվում են մասնագիտացված ռազմական կարողություններ: 
disaffected person	– անձ, որն օտարացած կամ ինքնամեկուսացված է իշխանություններից կամ անբարեհույս է իշխանությունների համար:
displaced person	– տեղահանված անձ, փախստական - քաղաքացիական անձ, որն իր կամքից անկախ պատճառներով գտնվում է իր պետության սահմաններից դուրս:
distressed person	– աղետյալ անձ - անհատ, որն իր կյանքին սպառնացող  վիճակից դուրս բերվելու համար կարիք ունի որոնման կամ փրկարար  գործողությունների: 
double agent	– կրկնակի գործակալ - գործակալ, որը կապ ունի միաժամանակ  երկու հակառակորդ հետախուզական ծառայությունների հետ, որոնցից միայն մեկն է տեղյակ կրկնակի կապի մասին:
draft	– զորակոչ - զինվորական ծառայության համար սահմանված չափանիշներին համապատասխանող քաղաքացիների զորակոչումը բանակ:
drone	–  հեռակառավարվող կամ ինքնակառավարվող ցամաքային, ջրային կամ օդային փոխադրամիջոց:
drop message	– նետվող հաղորդագրություն - ցամաքի կամ ծովի վրա գտնվող ստորաբաժանման համար օդանավից նետվող հաղորդագրություն:
dual agent	– երկակի գործակալ - անձ, որի հետ միաժամանակ եւ միմյանցից անկախ համագործակցում են երկու կամ ավելի հետախուզական ծառայություններ եւ որը միաժամանակ կատարում է այդ ծառայությունների հանձնարարությունները:
dummy message	– կեղծ հաղորդագրություն - հաղորդագրություն, որն ուղարկվում է իր բովանդակության հետ կապ չունեցող նպատակով: 
dummy minefield	– կեղծ ականապատված տարածք - տարածք, այդ թվում եւ ծովային, ուր չկան մարտական ականներ եւ որի նպատակը միայն հոգեբանական սպառնալիքն է:
dump	– ժամանակավոր պահեստավորման վայր - ականները, ռազմամթերքը, սարքավորումները կամ պաշարները ժամանակավորապես պահելու տեղ` սովորաբար բացօթյա:
dynamic targeting	– շարժընթաց նշանառություն - նշանառություն այնպիսի թիրախների դեմ, որոնք նախատեսված չեն եղել գործողության պլանում եւ առաջադրվել են ուշացումով:
